Date,Collar,Alpha,Alpha_se,GPmax,GPmax_se,NEE1200,GP1200,GP1200unc,Reco
2021-05-06,C1,-0.0002549012003120049,4.2204374975933534e-05,-0.3759432887730325,0.13672025802544024,-0.12334661976724931,-0.168656356616423,0.04860221800830107,0.0453097368491737
2021-05-06,C3,-0.00023699981493614797,1.4221532136696728e-05,-0.46797484393585265,0.11488987870704144,-0.09208097370285231,-0.1768958412767747,0.033326475741953056,0.0848148675739224
2021-05-06,C4,-0.00015243288702217195,1.269775153834487e-05,-4.999998154435287,40.014503192164604,-0.10047236853980368,-0.17646373178205318,0.885543950127871,0.0759913632422495
2021-05-06,C9,-0.00011077573209675173,1.0519880263047736e-05,-1.4196820666704464,1.1025127855773718,-0.05495601981353032,-0.12154966562730993,0.010513222882282425,0.0665936458137796
2021-05-06,C10,-9.653867828986196e-05,3.6112699150373435e-05,-4.999999766262451,183.52691380397627,-0.044132921611910306,-0.11322311544513751,0.4164240194421936,0.0690901938332272
2021-05-06,C11,-0.0002793083371907257,1.362741843656158e-05,-0.5008449834260915,0.060638959955954384,-0.12091210165028438,-0.20079570080893527,0.015961222417889623,0.0798835991586509
2021-05-14,C1,-0.0011523196804778535,0.00026000823252833084,-1.1508839326285534,0.35847242196727686,-0.3565659169378173,-0.6281106008235383,0.19161392996812793,0.271544683885721
2021-05-14,C2,-0.0008286565696264958,4.216408055197844e-05,-1.584612201107522,0.17715203992455078,-0.3738543771418126,-0.6109806596294901,0.0364232295924274,0.2371262824876775
2021-05-14,C3,-0.0010989302381934768,0.00014472517473764138,-1.4765207224925994,0.3020047969606528,-0.35128929426209793,-0.6965820491503187,0.0979896783548371,0.3452927548882208
2021-05-14,C4,-0.0005208606589561376,7.385607630612356e-05,-1.6342628314299912,0.6381994716246377,-0.20105346667377855,-0.4521178407626694,0.0565033268289125,0.2510643740888909
2021-05-14,C9,-0.000614448258831557,6.005888561994037e-05,-1.9022954226489484,0.5095009935525585,-0.22041703039759003,-0.5313747612629925,0.04526848398552218,0.3109577308654025
2021-05-14,C10,-0.0007736160239519424,1.8451510770833147e-05,-0.9847928942024389,0.028966512869827685,-0.18949279596626578,-0.47786656494357166,0.009888566035797517,0.2883737689773059
2021-05-14,C11,-0.0007988419355282605,6.471761850595638e-05,-0.9692161886015658,0.10223190758111177,-0.22261115050426217,-0.48194204086441844,0.037516506732694084,0.2593308903601563
2021-05-14,C12,-0.0007817045288853325,5.0820068303996565e-05,-1.8938492874072144,0.2750164118101084,-0.20739950392249412,-0.6273244072762196,0.03877464007997584,0.4199249033537255
2021-05-14,C5,-0.0009676056597732186,5.5191472517772963e-05,-1.0482488225027886,0.06882839375037192,-0.23595404351113403,-0.5509021573178756,0.02747918640291591,0.3149481138067416
2021-05-14,C6,-0.000894345378324099,0.00010993350691676286,-1.488687783066314,0.31658121547666795,-0.3162309270858958,-0.6236308408473602,0.0726132583062601,0.3073999137614644
2021-05-14,C7,-0.0008132175501923827,4.7754180586060364e-05,-0.9522109492884843,0.07063044991303634,-0.24644492557251424,-0.48194547815034333,0.02655002423498475,0.2355005525778291
2021-05-14,C8,-0.0004140976665606283,8.914750566701334e-05,-4.999999708245716,20.99241626050031,-0.17069891029888,-0.4519962546125683,2.549048473243055,0.2812973443136883
